token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10473,POWERMECH-EQ,POWERMECH,,-1,1,,NSE,5
13648,TALBROAUTO-EQ,TALBROAUTO,,-1,1,,NSE,5
2616,SEAMECLTD-EQ,SEAMECLTD,,-1,1,,NSE,5
15044,DELTACORP-EQ,DELTACORP,,-1,1,,NSE,5
5938,MONTECARLO-EQ,MONTECARLO,,-1,1,,NSE,5
11896,GEOJITFSL-EQ,GEOJITFSL,,-1,1,,NSE,5
866,DHARSUGAR-EQ,DHARSUGAR,,-1,1,,NSE,5
31234,SCHNEIDER-EQ,SCHNEIDER,,-1,1,,NSE,5
21332,BHAGYAPROP-EQ,BHAGYAPROP,,-1,1,,NSE,5
11394,ZOTA-EQ,ZOTA,,-1,1,,NSE,5
19234,LAURUSLABS-EQ,LAURUSLABS,,-1,1,,NSE,5
14450,IBREALEST-EQ,IBREALEST,,-1,1,,NSE,5
2837,RANASUG-EQ,RANASUG,,-1,1,,NSE,5
2049,CHENNPETRO-EQ,CHENNPETRO,,-1,1,,NSE,5
79,ALEMBICLTD-EQ,ALEMBICLTD,,-1,1,,NSE,5
13643,ELECON-EQ,ELECON,,-1,1,,NSE,5
1594,INFY-EQ,INFY,,-1,1,,NSE,5
6066,ATGL-EQ,ATGL,,-1,1,,NSE,5
14314,TTL-EQ,TTL,,-1,1,,NSE,5
13976,TANLA-EQ,TANLA,,-1,1,,NSE,5
10738,OFSS-EQ,OFSS,,-1,1,,NSE,5
277,GICRE-EQ,GICRE,,-1,1,,NSE,5
144,GODREJAGRO-EQ,GODREJAGRO,,-1,1,,NSE,5
3721,TATACOMM-EQ,TATACOMM,,-1,1,,NSE,5
17002,FELDVR-EQ,FELDVR,,-1,1,,NSE,5
21314,DYNPRO-EQ,DYNPRO,,-1,1,,NSE,5
3339,SUNDARMFIN-EQ,SUNDARMFIN,,-1,1,,NSE,5
10515,UTISENSETF-EQ,UTISENSETF,,-1,1,,NSE,1
14657,INSECTICID-EQ,INSECTICID,,-1,1,,NSE,5
1621,TATAINVEST-EQ,TATAINVEST,,-1,1,,NSE,5
5948,SOUTHBANK-EQ,SOUTHBANK,,-1,1,,NSE,5
11681,IMPEXFERRO-EQ,IMPEXFERRO,,-1,1,,NSE,5
10297,PPL-EQ,PPL,,-1,1,,NSE,5
2085,MAHSCOOTER-EQ,MAHSCOOTER,,-1,1,,NSE,5
7374,STAR-EQ,STAR,,-1,1,,NSE,5
685,CHOLAFIN-EQ,CHOLAFIN,,-1,1,,NSE,5
857,DHAMPURSUG-EQ,DHAMPURSUG,,-1,1,,NSE,5
