token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10473,POWERMECH-EQ,POWERMECH,,-1,1,,NSE,5
13648,TALBROAUTO-EQ,TALBROAUTO,,-1,1,,NSE,5
2616,SEAMECLTD-EQ,SEAMECLTD,,-1,1,,NSE,5
12759,SICAL-BL,SICAL,,-1,1,,NSE,5
12585,MARICO-BL,MARICO,,-1,1,,NSE,5
15044,DELTACORP-EQ,DELTACORP,,-1,1,,NSE,5
5938,MONTECARLO-EQ,MONTECARLO,,-1,1,,NSE,5
12874,VESUVIUS-BL,VESUVIUS,,-1,1,,NSE,5
18951,VERTOZ-BL,VERTOZ,,-1,1,,NSE,5
13837,DONEAR-BL,DONEAR,,-1,1,,NSE,5
11896,GEOJITFSL-EQ,GEOJITFSL,,-1,1,,NSE,5
9684,KPITTECH-BL,KPITTECH,,-1,1,,NSE,5
18626,IBULHSGFIN-N9,IBULHSGFIN,,-1,1,,NSE,1
866,DHARSUGAR-EQ,DHARSUGAR,,-1,1,,NSE,5
31234,SCHNEIDER-EQ,SCHNEIDER,,-1,1,,NSE,5
12760,SIEMENS-BL,SIEMENS,,-1,1,,NSE,5
19337,RHFL-N3,RHFL,,-1,1,,NSE,1
248,ADL-BE,ADL,,-1,1,,NSE,5
21332,BHAGYAPROP-EQ,BHAGYAPROP,,-1,1,,NSE,5
13287,M&MFIN-BL,M&MFIN,,-1,1,,NSE,5
18042,ADVENZYMES-BL,ADVENZYMES,,-1,1,,NSE,5
11643,ASAL-BE,ASAL,,-1,1,,NSE,5
8168,SPENCERS-BL,SPENCERS,,-1,1,,NSE,5
9161,DHANILOANS-N7,DHANILOANS,,-1,1,,NSE,1
14046,SARLAPOLY-BL,SARLAPOLY,,-1,1,,NSE,5
11394,ZOTA-EQ,ZOTA,,-1,1,,NSE,5
19234,LAURUSLABS-EQ,LAURUSLABS,,-1,1,,NSE,5
14450,IBREALEST-EQ,IBREALEST,,-1,1,,NSE,5
2837,RANASUG-EQ,RANASUG,,-1,1,,NSE,5
19970,HUDCO-NE,HUDCO,,-1,1,,NSE,1
10314,MAJESCO-BE,MAJESCO,,-1,1,,NSE,5
2049,CHENNPETRO-EQ,CHENNPETRO,,-1,1,,NSE,5
79,ALEMBICLTD-EQ,ALEMBICLTD,,-1,1,,NSE,5
96,CMMIPL-SM,CMMIPL,,-1,3000,,NSE,5
13643,ELECON-EQ,ELECON,,-1,1,,NSE,5
12266,BIRLACABLE-BL,BIRLACABLE,,-1,1,,NSE,5
1594,INFY-EQ,INFY,,-1,1,,NSE,5
12441,HINDALCO-BL,HINDALCO,,-1,1,,NSE,5
